"Type","Group","Name","Version","Licenses","Purl"
"library","androidx.compose.ui","ui-unit-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.ui/ui-unit-android@1.12.0?type=aar"
"library","androidx.compose.ui","ui-util","1.12.0","Apache-2.0","pkg:maven/androidx.compose.ui/ui-util@1.12.0?type=pom"
"library","androidx.compose.ui","ui-util-android","1.12.0","Apache-2.0","pkg:maven/androidx.compose.ui/ui-util-android@1.12.0?type=aar"
"library","androidx.concurrent","concurrent-futures","1.1.0","Apache-2.0","pkg:maven/androidx.concurrent/concurrent-futures@1.1.0?type=jar"
"library","androidx.core","core","1.18.0","Apache-2.0","pkg:maven/androidx.core/core@1.18.0?type=aar"
"library","androidx.core","core-ktx","1.18.0","Apache-2.0","pkg:maven/androidx.core/core-ktx@1.18.0?type=aar"
"library","androidx.core","core-viewtree","1.0.0","Apache-2.0","pkg:maven/androidx.core/core-viewtree@1.0.0?type=aar"
"library","androidx.customview","customview-poolingcontainer","1.0.0","Apache-2.0","pkg:maven/androidx.customview/customview-poolingcontainer@1.0.0?type=aar"
"library","androidx.emoji2","emoji2","1.4.0","Apache-2.0","pkg:maven/androidx.emoji2/emoji2@1.4.0?type=aar"
"library","androidx.graphics","graphics-path","1.0.1","Apache-2.0","pkg:maven/androidx.graphics/graphics-path@1.0.1?type=aar"
"library","androidx.interpolator","interpolator","1.0.0","Apache-2.0","pkg:maven/androidx.interpolator/interpolator@1.0.0?type=aar"
"library","androidx.lifecycle","lifecycle-common","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-common@2.10.0?type=pom"
"library","androidx.lifecycle","lifecycle-common-java8","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-common-java8@2.10.0?type=jar"
"library","androidx.lifecycle","lifecycle-common-jvm","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-common-jvm@2.10.0?type=jar"
"library","androidx.lifecycle","lifecycle-livedata-core","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-livedata-core@2.10.0?type=aar"
"library","androidx.lifecycle","lifecycle-process","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-process@2.10.0?type=aar"
"library","androidx.lifecycle","lifecycle-runtime","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-runtime@2.10.0?type=pom"
"library","androidx.lifecycle","lifecycle-runtime-android","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-runtime-android@2.10.0?type=aar"
"library","androidx.lifecycle","lifecycle-runtime-compose","2.10.0","Apache-2.0","pkg:maven/androidx.lifecycle/lifecycle-runtime-compose@2.10.0?type=pom"
